GEOID,NAME,variable,estimate,moe
01001,"Autauga County, Alabama",B25077_001,191800,7996
01003,"Baldwin County, Alabama",B25077_001,266000,6916
01005,"Barbour County, Alabama",B25077_001,102700,11171
01007,"Bibb County, Alabama",B25077_001,120100,13377
01009,"Blount County, Alabama",B25077_001,159800,6189
01011,"Bullock County, Alabama",B25077_001,87700,20560
01013,"Butler County, Alabama",B25077_001,94800,5984
01015,"Calhoun County, Alabama",B25077_001,140500,5181
01017,"Chambers County, Alabama",B25077_001,116900,9814
01019,"Cherokee County, Alabama",B25077_001,158700,8550
01021,"Chilton County, Alabama",B25077_001,136000,11864
01023,"Choctaw County, Alabama",B25077_001,101600,14926
01025,"Clarke County, Alabama",B25077_001,126200,11557
01027,"Clay County, Alabama",B25077_001,144100,20691
01029,"Cleburne County, Alabama",B25077_001,131900,13974
01031,"Coffee County, Alabama",B25077_001,162200,6222
01033,"Colbert County, Alabama",B25077_001,148500,7814
01035,"Conecuh County, Alabama",B25077_001,98800,12918
01037,"Coosa County, Alabama",B25077_001,109500,13081
01039,"Covington County, Alabama",B25077_001,124300,9199
01041,"Crenshaw County, Alabama",B25077_001,100400,8832
01043,"Cullman County, Alabama",B25077_001,166000,5528
01045,"Dale County, Alabama",B25077_001,123800,5984
01047,"Dallas County, Alabama",B25077_001,91600,5988
01049,"DeKalb County, Alabama",B25077_001,129000,11274
01051,"Elmore County, Alabama",B25077_001,200400,9683
01053,"Escambia County, Alabama",B25077_001,122000,9420
01055,"Etowah County, Alabama",B25077_001,148400,4893
01057,"Fayette County, Alabama",B25077_001,112700,13757
01059,"Franklin County, Alabama",B25077_001,121600,10044
01061,"Geneva County, Alabama",B25077_001,120700,10763
01063,"Greene County, Alabama",B25077_001,88800,18882
01065,"Hale County, Alabama",B25077_001,109400,17425
01067,"Henry County, Alabama",B25077_001,132400,15427
01069,"Houston County, Alabama",B25077_001,164900,3165
01071,"Jackson County, Alabama",B25077_001,126900,11288
01073,"Jefferson County, Alabama",B25077_001,208900,4864
01075,"Lamar County, Alabama",B25077_001,108200,7992
01077,"Lauderdale County, Alabama",B25077_001,174800,5892
01079,"Lawrence County, Alabama",B25077_001,134200,15253
01081,"Lee County, Alabama",B25077_001,224400,6869
01083,"Limestone County, Alabama",B25077_001,229400,9720
01085,"Lowndes County, Alabama",B25077_001,83400,10038
01087,"Macon County, Alabama",B25077_001,93900,3843
01089,"Madison County, Alabama",B25077_001,242900,4922
01091,"Marengo County, Alabama",B25077_001,98600,11117
01093,"Marion County, Alabama",B25077_001,104300,10616
01095,"Marshall County, Alabama",B25077_001,165600,6321
01097,"Mobile County, Alabama",B25077_001,164600,2891
01099,"Monroe County, Alabama",B25077_001,109300,8684
01101,"Montgomery County, Alabama",B25077_001,151300,4722
01103,"Morgan County, Alabama",B25077_001,174800,6852
01105,"Perry County, Alabama",B25077_001,81700,11944
01107,"Pickens County, Alabama",B25077_001,119800,10267
01109,"Pike County, Alabama",B25077_001,144500,15128
01111,"Randolph County, Alabama",B25077_001,155000,15183
01113,"Russell County, Alabama",B25077_001,141900,8971
01115,"St. Clair County, Alabama",B25077_001,202000,7193
01117,"Shelby County, Alabama",B25077_001,276500,5295
01119,"Sumter County, Alabama",B25077_001,88000,14528
01121,"Talladega County, Alabama",B25077_001,131900,7617
01123,"Tallapoosa County, Alabama",B25077_001,127100,12451
01125,"Tuscaloosa County, Alabama",B25077_001,218800,5594
01127,"Walker County, Alabama",B25077_001,124100,8907
01129,"Washington County, Alabama",B25077_001,138100,23203
01131,"Wilcox County, Alabama",B25077_001,83200,13304
01133,"Winston County, Alabama",B25077_001,111600,13850
02013,"Aleutians East Borough, Alaska",B25077_001,164100,14269
02016,"Aleutians West Census Area, Alaska",B25077_001,377100,76269
02020,"Anchorage Municipality, Alaska",B25077_001,363800,4830
02050,"Bethel Census Area, Alaska",B25077_001,120600,22547
02060,"Bristol Bay Borough, Alaska",B25077_001,253400,21496
02063,"Chugach Census Area, Alaska",B25077_001,287900,31825
02066,"Copper River Census Area, Alaska",B25077_001,235100,18412
02068,"Denali Borough, Alaska",B25077_001,227000,30947
02070,"Dillingham Census Area, Alaska",B25077_001,167700,79736
02090,"Fairbanks North Star Borough, Alaska",B25077_001,276800,6789
02100,"Haines Borough, Alaska",B25077_001,289200,41820
02105,"Hoonah-Angoon Census Area, Alaska",B25077_001,243800,23655
02110,"Juneau City and Borough, Alaska",B25077_001,404600,19388
02122,"Kenai Peninsula Borough, Alaska",B25077_001,280900,7887
02130,"Ketchikan Gateway Borough, Alaska",B25077_001,361000,14949
02150,"Kodiak Island Borough, Alaska",B25077_001,355000,34611
02158,"Kusilvak Census Area, Alaska",B25077_001,82200,11153
02164,"Lake and Peninsula Borough, Alaska",B25077_001,167000,29106
02170,"Matanuska-Susitna Borough, Alaska",B25077_001,296900,3817
02180,"Nome Census Area, Alaska",B25077_001,181300,22366
02185,"North Slope Borough, Alaska",B25077_001,193800,24110
02188,"Northwest Arctic Borough, Alaska",B25077_001,147200,29780
02195,"Petersburg Borough, Alaska",B25077_001,279800,18297
02198,"Prince of Wales-Hyder Census Area, Alaska",B25077_001,220800,15590
02220,"Sitka City and Borough, Alaska",B25077_001,424700,16782
02230,"Skagway Municipality, Alaska",B25077_001,434300,14010
